position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,4496,0.09917081258448673,0.8855964489109098,0.6698904503779524,-0.21570599853295747,4496,4496,True,1.2950096130371094,True,True,1.0,0.7,0.6012874638598749,0.9739271476626317
1,6570,0.09118488328814936,6.914659806803723,5.809594589391914,-1.1050652174118092,295,295,True,0.012065887451171875,True,True,1.0,0.8,0.6437706497357676,0.9674394923159344
2,580,0.02983458040938585,0.08694620515672824,0.12157216153919848,0.034625956382470235,580,580,True,4.258852005004883,True,True,0.6,0.9,0.6087003646691097,0.9696877151508362
3,364,0.14119559511785612,4.768737827202862,3.371134975961958,-1.3976028512409044,3915,3915,True,0.8443107604980469,True,True,0.8,0.7,0.7014985853479028,0.9626135087667981
4,279,0.09375654805294101,1.5665943365094215,1.4063340992781725,-0.16026023723124894,780,279,False,0.05105400085449219,True,True,1.0,0.9,0.7271550354391159,0.959320247280011
5,28464,0.20822753641194078,9.083899125117462,10.370429089450312,1.2865299643328498,1118,1118,True,0.20849323272705078,True,True,0.6,0.6,0.7361160286539334,0.9622825516765252
6,3915,0.1708410520682811,2.629469805897152,2.4049652070810374,-0.2245045988161145,579,13019,False,0.2105426788330078,True,True,0.8,0.9,0.6551090188331056,0.9694917196546843
7,303,0.10608047383457556,2.716035423495768,2.0864899294937302,-0.6295454940020377,641,641,True,1.7300262451171875,True,True,0.8,0.8,0.6647312887973704,0.9676133761386505
8,1906,0.020241760338478052,6.126157621675787,5.568879891853072,-0.5572777298227152,220,220,True,2.302339553833008,True,True,0.8,0.8,0.6360276505159191,0.9697510290106373
9,310,0.0043672127816879285,0.008964199216023871,0.01947923943532004,0.010515040219296168,310,310,True,5.191946029663086,True,True,1.0,0.9,0.5769788822650463,0.9716898505383769
10,30982,0.03435628181956776,0.7458291402162871,0.7755998028198974,0.029770662603610276,30982,30982,True,2.1110458374023438,True,True,0.8,1.0,0.5373425662386142,0.979809250033678
11,1070,0.016569169627636042,3.18093906749473,2.735602440673169,-0.44533662682156105,424,424,True,2.1788463592529297,True,True,1.0,0.9,0.5564789935383425,0.9730574575562203
12,641,0.01123988679046961,3.830366090139819,3.5492747628306525,-0.2810913273091664,494,494,True,3.777090072631836,True,True,0.8,0.8,0.608502412214606,0.9683863161638511
13,695,0.05801950881555758,1.4849808920503769,1.6351593329399705,0.15017844088959365,695,695,True,0.6052494049072266,True,True,0.8,0.9,0.6394065801541161,0.9683049406190429
14,561,0.058539048136436136,2.7237529134471643,2.7253387728622194,0.0015858594150550687,283,283,True,1.8245201110839844,True,True,1.0,0.8,0.7818375005621748,0.9485435382367453
15,2172,0.20566985628713796,7.713504623660089,9.098113589801397,1.3846089661413075,1118,28464,False,0.7338027954101562,True,True,0.8,0.6,0.6611831180778952,0.9687002431612532
16,9144,0.21499696106348035,3.6152452850181085,3.464523080494846,-0.15072220452326235,8421,8421,True,0.7468147277832031,True,True,0.6,0.6,0.6444362881463324,0.9726884100507649
17,28464,0.024768705412777727,11.47215431459555,11.009753927639178,-0.46240038695637153,314,314,True,3.113107681274414,True,True,0.8,0.9,0.571755263842251,0.973075680976544
18,359,0.18668692650277346,2.7818084086085264,2.1358804474382183,-0.6459279611703082,579,579,True,0.9918384552001953,True,True,0.8,0.8,0.6892618859280688,0.9657117399650923
19,82,0.0020183642611788467,0.011742143560013574,0.008999296152229164,-0.00274284740778441,82,82,True,4.90869140625,True,True,0.4,0.8,0.7277260661201159,0.9591694272903089
20,13019,0.2002376201521281,0.36431075106444055,0.7416311863918743,0.37732043532743376,13019,13019,True,2.0415897369384766,True,True,0.6,0.8,0.7852663150302546,0.9581246969031857
21,995,0.058115504149650256,0.6501510597640241,0.861185067004957,0.2110340072409329,995,995,True,0.921051025390625,True,True,1.0,0.8,0.5083793112395039,0.9793061653281712
22,888,0.06319601143423859,0.5540580045236361,0.5073026295600513,-0.04675537496358473,888,888,True,0.5139312744140625,True,True,0.8,0.8,0.5151892157916969,0.9785955175564349
23,279,0.09349530345031921,1.158675347938118,0.8113086219988404,-0.34736672593927764,279,279,True,0.8309764862060547,True,True,1.0,0.9,0.6314855612010984,0.9690150913174077
24,45912,0.15293547564486637,14.073354604431536,14.65397768735357,0.5806230829220347,6575,33153,False,0.4380683898925781,True,True,1.0,0.8,0.6361957124784038,0.970591284251419
25,15746,0.2447063967463788,1.8337199484608142,1.5620610443398526,-0.2716589041209616,321,15746,False,0.7170486450195312,True,True,0.6,0.8,0.6316381076347479,0.9720998020134468
26,321,0.10844909206919544,3.2113198507694385,2.9407359699609756,-0.27058388080846285,557,557,True,0.9905834197998047,True,True,0.8,1.0,0.660433540772962,0.9707811210883707
27,975,0.15984520051291967,1.8782426399102796,2.070960680625877,0.19271804071559728,279,279,True,0.5611286163330078,True,True,0.8,0.6,0.6196398247181908,0.9744948623111285
28,4145,0.21025040031078557,2.4997385334084505,1.8567755762533693,-0.6429629571550812,4145,4145,True,0.2128925323486328,True,True,0.4,0.6,0.6445823387926719,0.9732962194534847
29,13019,0.26138286284183404,1.7625957380782147,2.999260306687127,1.2366645686089122,13019,15746,False,0.6119041442871094,True,True,0.8,0.7,0.6714015687239246,0.9728803972652904
30,314,0.07415272588326355,4.216201235899948,3.790945594248946,-0.4252556416510025,557,557,True,1.18182373046875,True,True,0.8,0.9,0.6010755604712422,0.9719895234729413
