candidate,regression_ppl,regression_kl,reference_ppl,reference_kl,regression_ppl_ratio,regression_strict_pass,regression_engineering_pass,heldout_ppl,heldout_kl,heldout_strict_pass,heldout_engineering_pass,speed_point_pass,speed_equivalence_pass,payload_bytes,complete_success,arithmetic_pass,practical_quality_pass,followup_speed_pass,revised_user_goal_pass
legacy,18.583289536829184,0.1748411687578278,14.752902350120749,0.03469310955808924,1.2596361784145533,False,False,5.16899362560516,0.11920984570740092,False,False,True,True,424934656,False,True,False,True,False
mse16,16.861284137066612,0.10586420672482276,14.752902350120749,0.03469310955808924,1.1429130171751327,False,False,4.819578693453888,0.07517925938129441,False,False,False,True,424934656,False,True,True,True,True
calibrated,16.0408741050163,0.09645639512510065,14.752902350120749,0.03469310955808924,1.0873029404200598,False,False,4.85142955098286,0.07183477183997745,False,False,False,True,424934656,False,True,True,True,True
q4pure,18.03817543817195,0.1446496711196778,14.752902350120749,0.03469310955808924,1.2226865609277426,False,False,,,False,False,False,False,424934656,False,,False,False,False
q4km,14.784321215275074,0.03470790612240289,14.752902350120749,0.03469310955808924,1.002129673498047,False,True,4.653872427950553,0.024811702374468236,True,True,False,False,521555200,False,,True,False,False
