position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,4599,0.21073935947531708,11.353896572972744,10.548149949859322,-0.8057466231134214,13640,975,False,0.6428499221801758,True,True,0.6,0.7,0.6214649993360206,0.9764592758227115
1,7189,0.44280488444462685,1.2629213218091806,2.42777756443569,1.1648562426265094,7189,7189,True,0.6776599884033203,True,True,0.8,0.6,0.8279202880037839,0.9597532320788678
2,466,0.14976813430021546,1.485407056405542,2.316040540468048,0.8306334840625063,11,11,True,1.061532974243164,True,True,0.8,0.8,0.6493149917224774,0.9697349240971684
3,23487,0.22187017640348772,3.9992162487439558,4.834052332382804,0.834836083638848,3813,975,False,0.2774009704589844,True,True,0.6,0.8,0.6484528915505628,0.9748324739698778
4,13,0.14087002555822625,0.4951245661606585,0.5339228337029454,0.03879826754228688,13,13,True,1.8909130096435547,True,True,0.8,0.9,0.6174386511384388,0.9696955487174795
5,1368,0.1021418409673657,2.729796274196481,3.0059816042515983,0.27618533005511736,248046,353,False,0.7735309600830078,True,True,0.8,0.9,0.6308997775223633,0.9682912743270453
6,421,0.12313253274874852,5.533020772634419,5.173806774526344,-0.35921399810807486,279,279,True,1.099029541015625,True,True,0.6,0.9,0.6803995830765741,0.9671500664530789
7,5721,0.24335999699854383,4.772500067744119,2.926790895296268,-1.845709172447851,14107,14107,True,0.50885009765625,True,True,0.8,0.7,0.6966264540517194,0.9652306361055433
8,1503,0.2527904360101346,3.633760930240687,3.7983641172125893,0.16460318697190246,369,369,True,1.8228302001953125,True,True,0.6,0.5,0.7588587627529794,0.9578825371206269
9,524,0.007005186195678054,0.008755477346745977,0.007612135542920839,-0.0011433418038251375,524,524,True,6.230049133300781,True,True,0.4,0.8,0.6326724204526267,0.9697004710290454
10,8563,0.7026604142997642,4.906697710209272,5.585577982615323,0.678880272406051,2905,2905,True,0.3556861877441406,True,True,0.6,0.7,0.6925761612885932,0.9677532932237413
