position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,220,7.275420499892742e-07,1.7517690906743155e-06,1.1133733828216918e-06,-6.383957078526237e-07,220,220,True,14.76778507232666,True,True,0.8,0.9,0.7571792242142289,0.9494892018995389
1,20,3.711222728250332e-07,5.703304317705715e-06,5.310830562876845e-06,-3.9247375482887037e-07,20,20,True,13.44156265258789,True,True,1.0,0.9,0.7464651545181723,0.9529597352841856
2,17,6.709733662567901e-06,3.0438507558017136e-05,1.649822315386018e-05,-1.3940284404156955e-05,17,17,True,10.92620849609375,True,True,1.0,1.0,0.6476582140281049,0.9524024006175472
3,198,3.6578598637228227e-06,2.22362406070431e-05,2.7694256470311984e-05,5.4580158632688835e-06,198,198,True,12.192407608032227,True,True,0.8,0.8,0.77874907765274,0.9359161043136756
4,262,4.279072454249576e-07,1.0577867897154647e-06,1.0526589093728944e-06,-5.127880342570279e-09,262,262,True,14.558734893798828,True,True,0.6,1.0,0.8308754441317093,0.9317173671414647
5,413,1.1210290600324156e-06,2.6109127730933324e-06,4.240192108539986e-06,1.629279335446654e-06,413,413,True,14.771976470947266,True,True,0.8,0.7,0.8762908919016437,0.9531479295446337
6,2343,6.456578443161473e-06,7.717790555972215e-06,1.903986761675469e-05,1.1322077060782476e-05,2343,2343,True,12.350080490112305,True,True,0.6,0.7,0.9172690906531861,0.9551040145227392
7,19490,1.3001110085204959e-05,7.852993768509009e-05,8.437593210786076e-05,5.845994422770673e-06,19490,19490,True,11.035686492919922,True,True,0.8,0.7,0.7813394624624928,0.9524745197172316
8,8,6.694578401590134e-08,5.130807139153148e-07,6.908076954914577e-07,1.7772698157614286e-07,8,8,True,15.029014587402344,True,True,0.8,1.0,0.8398897868473829,0.942898434545055
9,361,4.086295412940525e-06,6.425082965222373e-06,5.431580540005143e-06,-9.935024252172298e-07,361,361,True,12.900123596191406,True,True,1.0,0.7,0.8375103660491124,0.9525330230716075
10,2297,2.9043727746616546e-05,5.226881627962143e-05,8.971267783763892e-05,3.744386155801749e-05,2297,2297,True,11.383161544799805,True,True,0.8,0.7,0.9326134657940803,0.9529689124515619
11,25,3.49267289641775e-06,3.0209326496333233e-05,1.882422042598364e-05,-1.1385106070349593e-05,25,25,True,10.471851348876953,True,True,0.8,0.8,0.825222277647826,0.9280539356166448
