position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,22268,0.19361990134085041,7.6095653218303205,7.754585075211693,0.14501975338137285,53466,53466,True,1.5265235900878906,True,True,0.4,0.8,0.7514545599018507,0.9628453805894043
1,56370,0.23890764182348945,0.7887299979341336,1.5265607288540135,0.7378307309198799,56370,56370,True,2.062274932861328,True,True,1.0,0.7,0.6134450871236911,0.9742740784042028
2,1754,0.15097384134220695,6.983866473065884,7.011379851157088,0.027513378091203577,998,998,True,1.2033805847167969,True,True,0.6,0.8,0.6186612284032829,0.972788581364927
3,60161,0.25731685686877365,6.668042904436373,7.7177423118830575,1.0496994074466848,5743,440,False,0.06293392181396484,False,False,0.6,0.8,0.6217116819873161,0.9738108313787335
4,279,0.22342126692469616,3.44391691148763,1.7397058507827872,-1.7042110607048429,220,220,True,2.3472023010253906,True,True,0.8,0.8,0.7061049765339201,0.9601275819406462
5,43950,0.2619654078345113,1.473525427549184,1.8465901970902863,0.37306476954110224,43950,3177,False,0.9785137176513672,True,True,0.8,0.7,0.6314697356104908,0.9702679170428964
6,22889,0.1746312715347479,9.490089510060635,11.015390478660905,1.5253009686002699,303,440,False,0.14083480834960938,True,True,0.8,0.7,0.6041161064151083,0.97212241225356
7,19020,0.13687745144950633,8.30772943040564,8.365688936844734,0.057959506439093644,321,321,True,0.8622455596923828,True,True,0.8,0.8,0.623316352525343,0.9709230359575776
8,1238,0.01845166852210353,0.43207709713919584,0.5392934861633449,0.1072163890241491,1238,1238,True,0.9702243804931641,True,True,0.8,0.8,0.6012282919408629,0.9702073213940374
9,31266,0.15047209049349644,2.7494150337383587,2.737466761788088,-0.011948271950270595,279,279,True,1.0806560516357422,True,True,0.6,0.6,0.7404228405302434,0.9626430862033253
10,383,0.07403824360852868,2.500961527466192,2.5826139202988365,0.0816523928326447,641,641,True,1.282958984375,True,True,1.0,0.9,0.648889671811502,0.968666920509642
11,220,0.06615637318317447,0.3727642839090244,0.21949848282631024,-0.15326580108271415,220,220,True,1.4592113494873047,True,True,1.0,0.9,0.6293619181728637,0.971505972112643
12,21,0.11000799140490543,2.1476145957179327,2.75768546215372,0.6100708664357875,20,20,True,1.7145423889160156,True,True,1.0,1.0,0.5547500542045907,0.9529479875130655
13,5869,0.07298671717261264,0.09161835124474393,0.24984164600305192,0.158223294758308,5869,5869,True,3.1593475341796875,True,True,0.8,0.8,0.579275438109465,0.9732095127226615
14,641,0.061836943165874285,1.2964536508289655,1.7911291223842447,0.49467547155527924,220,220,True,0.5809249877929688,True,True,1.0,0.9,0.6118959861097771,0.9679593833483283
15,561,0.09280208297297375,1.3071048280715836,1.8994904867158482,0.5923856586442646,561,695,False,0.5299892425537109,True,True,1.0,0.8,0.6359645867639077,0.9675115951196048
16,28460,0.2240418795379933,5.998633668512042,7.131244690556656,1.132611022044614,2018,220,False,0.075714111328125,True,True,0.8,0.9,0.6843110605344669,0.9658701096351735
17,356,0.06453903547607893,0.10297820177568084,0.2576839297810487,0.15470572800536786,356,356,True,3.3849544525146484,True,True,1.0,1.0,0.6308219368837403,0.9621241949594345
18,287,0.008594020264334668,0.009160194833473412,0.02764207416226583,0.018481879328792417,287,287,True,4.706809997558594,True,True,1.0,0.8,0.8441185806956866,0.929398830199614
19,998,0.08567467499580247,0.7123799609821333,0.7054474220780236,-0.00693253890410972,998,998,True,1.9372711181640625,True,True,1.0,0.8,0.5937531472955089,0.9735534573020639
20,38058,0.24408116996579932,2.346373295231473,3.870746526053381,1.524373230821908,38058,1179,False,0.3968334197998047,True,True,0.6,0.6,0.5728255310887289,0.9769239371905416
21,310,0.08388059139492533,0.7748418260927785,0.4907525073949408,-0.2840893186978377,310,310,True,1.1388301849365234,True,True,1.0,0.9,0.592920459416988,0.9729524909875661
22,5163,0.11163594671171129,11.497335810525394,10.07031256771237,-1.4270232428130232,279,279,True,1.7778453826904297,True,True,1.0,0.6,0.6012604639172441,0.9737695869407837
23,4466,0.7117807238763709,0.6592338862775016,2.255480833868905,1.5962469475914034,4466,4466,True,3.133427619934082,True,True,0.6,0.5,0.7758356430841827,0.9513764345483186
24,1116,0.33211433012097097,1.1183905676389898,1.5235671744547687,0.40517660681577894,1116,1116,True,1.0819625854492188,True,True,0.6,0.7,0.723726286307491,0.9622959179677487
25,78331,0.10301285339973609,2.517912496607387,3.015347738893638,0.4974352422862509,279,279,True,0.8225612640380859,True,True,1.0,0.8,0.6414146281228674,0.9690713198367478
26,1116,0.04756214231685891,0.37275896974017897,0.5325614980876807,0.15980252834750175,1116,1116,True,2.0380172729492188,True,True,0.8,0.7,0.6150829714676,0.9692104691164508
27,1332,0.1332073264986291,1.5345488242403285,2.2480368934948274,0.7134880692544989,321,321,True,0.32227325439453125,True,True,0.8,0.8,0.6487799020149736,0.9677691381153922
28,781,0.07711090069137866,0.30788213341415727,0.561189067353876,0.2533069339397187,781,781,True,1.610097885131836,True,True,0.8,1.0,0.5949183624614169,0.9744976387537057
29,94179,0.04101018275277653,6.012870906240959,7.913551247667993,1.9006803414270337,998,998,True,1.5721912384033203,True,True,0.8,0.9,0.5330648634951024,0.97953236301288
30,40671,0.09097935825200461,0.13592972609244214,0.26856571998002465,0.13263599388758252,40671,40671,True,2.1477012634277344,True,True,0.6,0.7,0.9907632249352316,0.9315670740823041
31,383,0.1894736730770147,2.0433383482278202,2.0918945037052055,0.04855615547738523,506,506,True,0.04105949401855469,True,True,0.8,0.7,0.6948420620599534,0.9622172699075051
32,220,0.1197600006439288,0.9880893983117645,0.6350302340124045,-0.3530591642993599,220,220,True,0.4560260772705078,True,True,0.8,0.9,0.6842538564518263,0.9677655892159439
33,16,0.03705257504871177,1.4951575728476811,1.4648890235047354,-0.03026854934294576,22,16,False,0.1568622589111328,True,True,1.0,1.0,0.47430273148141344,0.9635348335061199
