model,window,teacher_nll,candidate_nll,kl
H128-Q4,0,2.010274511720478,2.2130800536134614,0.12060729028028978
H128-Q4,1,2.586185131223754,2.772489862878841,0.14053182318661778
H128-Q4,2,2.9141439424246567,3.311305699048452,0.25440911345759387
H128-Q4,3,2.3831986002247,2.5614028388956958,0.15062254721040463
H128-Q4,4,2.409248679856744,2.682929980694742,0.2014345267819867
H128-Q4,5,2.813336637481543,3.1412236979486354,0.21136644338270946
H128-Q4,6,2.5134011512154886,2.7885357627821383,0.1640246700287771
H128-Q4,7,2.550470744007586,2.7312260486218265,0.1504596679989231
H128-Q4,8,3.451141522066478,3.7193495061962243,0.1962781029944376
H128-Q4,9,2.967745518919259,3.36141453241719,0.21760794466958908
H128-Q4,10,2.496927590923322,2.6646252233688537,0.14364328527292752
H128-Q4,11,2.635569996153096,2.866506969048217,0.1696139303635334
H128-Q4,12,2.522191012752562,2.7950221873933714,0.1634060247459488
H128-Q4,13,2.8272092743938373,3.0085027412519643,0.15612247989928088
H128-Q4,14,2.5957386494224424,2.851785737629653,0.15566068638027133
H128-Q4,15,2.982816117116239,3.286803396719316,0.20167016347195324
Q4_0-pure,0,2.010274511720478,2.1866720222877865,0.11622882236496658
Q4_0-pure,1,2.586185131223754,2.7945472388260617,0.149177658012941
Q4_0-pure,2,2.9141439424246567,3.1893070226683493,0.17066739964092076
Q4_0-pure,3,2.3831986002247,2.5385934723640045,0.1383028775396686
Q4_0-pure,4,2.409248679856744,2.6496671890984564,0.13942790785200465
Q4_0-pure,5,2.813336637481543,3.035756474788099,0.1548666608556525
Q4_0-pure,6,2.5134011512154886,2.7679095503805864,0.14424639477570922
Q4_0-pure,7,2.550470744007586,2.731300068552681,0.13717168968312884
Q4_0-pure,8,3.451141522066478,3.676886771426048,0.14889550339398963
Q4_0-pure,9,2.967745518919259,3.31716771345062,0.17769173016257625
Q4_0-pure,10,2.496927590923322,2.7329992117654194,0.15445807323049845
Q4_0-pure,11,2.635569996153096,2.850924937985989,0.13310668166130535
Q4_0-pure,12,2.522191012752562,2.743342371064907,0.13528564395746906
