model,scored_tokens,teacher_perplexity,perplexity,mean_target_nll,mean_kl,p95_kl,top1_agreement
H128-Q4,8192,14.385560241788426,18.583289536829184,2.9222627649067863,0.17484116875782776,0.4917297397418677,0.784423828125
Q4_0-pure,8192,14.385560241788426,18.02588495646675,2.8918087780250223,0.14452242836057605,0.3796957870697447,0.8028564453125
Q4_0,8192,14.385560241788426,15.580882997055648,2.746044713872297,0.06838821787158296,0.19023998674666767,0.8673095703125
Q4_K_M,8192,14.385560241788426,14.752902350120749,2.6914398329289617,0.034693109558089234,0.09854691414770617,0.9039306640625
IQ4_XS,8192,14.385560241788426,15.161445891669597,2.7187557511062246,0.050538974644447524,0.14246807243148976,0.8814697265625
