position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,16239,0.04364062557983148,3.1544867910610996,2.782945205244758,-0.3715415858163418,695,695,True,1.425048828125,True,True,0.6,0.9,0.6219539801197952,0.9666050554278609
1,7052,0.026930887403563683,0.08938936058216385,0.17368563232697198,0.08429627174480814,7052,7052,True,2.674867630004883,True,True,1.0,0.9,0.6381453573626639,0.9630995220264875
2,74438,0.053355655174003834,10.566449624267133,9.50636401071512,-1.0600856135520118,682,682,True,0.040576934814453125,True,True,1.0,1.0,0.5285639908698204,0.9788466474291827
3,440,0.013071666847636266,0.09229451486140405,0.09938549663274543,0.007090981771341376,440,440,True,3.4484615325927734,True,True,0.8,0.9,0.5224103866213432,0.9780416449036937
4,20774,0.06246737012510718,6.387515482456051,7.604725624788426,1.217210142332375,279,279,True,2.858030319213867,True,True,1.0,0.8,0.4792628115168391,0.9837001798348123
5,359,0.14598505199603828,2.7253873982853563,3.1985541275930913,0.47316672930773507,310,310,True,0.31058406829833984,True,True,0.8,0.9,0.578921823669805,0.9773783855544003
6,82,0.03305659944215136,0.08430376504636072,0.03906238345246038,-0.04524138159390034,82,82,True,2.802907943725586,True,True,1.0,0.8,0.5538087666449302,0.97640644258909
7,23597,0.1372960613097605,4.679191188741251,4.7306897326711965,0.05149854392994513,11156,11156,True,1.005706787109375,True,True,0.6,0.7,0.519173080781801,0.9814336494615647
8,3780,0.27541752386333873,0.8983481179253765,0.6637640611005331,-0.2345840568248434,3780,3780,True,1.6476116180419922,True,True,0.6,0.6,0.7074568075950017,0.9669409617879902
9,31811,0.015560408813765298,0.005803682250149933,0.02802341489373461,0.022219732643584678,31811,31811,True,5.574743270874023,True,True,0.8,0.5,1.5462789034200821,0.8353978788805778
10,30066,0.18558067989755017,0.09555659951305984,0.3050637942520886,0.2095071947390288,30066,30066,True,2.821247100830078,True,True,0.4,0.3,1.5508801605336184,0.8481707498767044
11,321,0.033037530389164425,2.4815551380621628,2.4569811110937643,-0.0245740269683985,310,310,True,0.2727642059326172,True,True,1.0,1.0,0.745193513588075,0.9595181507918024
12,279,0.14540500188831376,1.390660818443326,1.263593818331863,-0.1270670001114631,279,279,True,0.22504043579101562,True,True,0.6,1.0,0.5358988007589985,0.9802545173898994
13,2201,0.1382335672634032,3.9407974477528285,4.115849570568042,0.1750521228152131,23597,23597,True,0.10011672973632812,True,True,0.6,0.8,0.5194856043472547,0.9804250256021608
14,4893,0.17859806702857337,2.152186135273137,3.100031711175024,0.9478455759018871,12638,12638,True,0.6654510498046875,True,True,0.6,0.9,0.5997463098511118,0.9755091321726389
